A,B,C,D
0.636244,0.239430,0.745650,0.900198
0.342974,0.800676,0.375399,0.457818
0.390361,0.220106,0.410500,0.473794
0.307235,0.603886,0.256766,0.394931
0.657528,0.484611,0.638172,0.738111
0.412468,0.581329,0.501891,0.384054
0.059844,0.021683,0.065025,0.089755
0.213905,0.520908,0.200106,0.222043
0.060688,0.275082,0.155766,0.016379
0.296391,0.690710,0.372474,0.418010
0.672124,0.761140,0.563672,0.748133
0.678962,0.420550,0.738231,0.858566
0.424771,0.134068,0.383643,0.438841
0.033277,0.878949,0.044955,0.236711
0.604144,0.338504,0.600119,0.870019
0.768868,0.081285,0.750754,0.740596
0.642110,0.867720,0.687373,0.465102
0.246667,0.122401,0.257102,0.212880
0.545469,0.867385,0.558684,0.534111
0.961964,0.310459,0.999822,0.731445
0.960857,0.958554,0.978367,0.804413
0.288561,0.054272,0.292792,0.121490
0.348053,0.956076,0.384927,0.231983
0.531331,0.930091,0.521846,0.285123
0.638069,0.414387,0.638535,0.570752
0.113962,0.939600,0.178586,0.165727
0.691187,0.175669,0.631013,0.655379
0.975683,0.715230,0.959530,0.930051
0.071804,0.482421,0.043297,0.026757
0.025429,0.744333,0.047092,0.025609
0.894205,0.784708,0.815057,0.913164
0.873878,0.743652,0.812700,0.644147
0.510879,0.197669,0.447438,0.473470
0.636713,0.020689,0.623441,0.683097
0.026544,0.271638,0.010872,0.053452
0.855714,0.654061,0.750908,0.884399
0.935015,0.667497,0.935517,0.916995
0.301028,0.034818,0.256211,0.328766
0.166893,0.144731,0.139973,0.136273
0.273328,0.124293,0.272905,0.110325
0.305718,0.772626,0.277666,0.366724
0.837387,0.941444,0.759358,0.844654
0.401583,0.381650,0.391204,0.474455
0.572434,0.258611,0.611978,0.435203
0.980226,0.653350,0.909475,0.875426
0.714154,0.344345,0.699061,0.418486
0.246664,0.693765,0.252933,0.187628
0.509162,0.314029,0.499357,0.287858
0.618912,0.365968,0.722751,0.560989
0.785271,0.154257,0.809778,0.762905
0.171872,0.594948,0.191532,0.264656
0.002439,0.569246,0.060494,0.022733
0.923105,0.786442,0.933390,0.773782
0.599341,0.997849,0.525840,0.804426
0.343259,0.966056,0.410752,0.702519
0.910874,0.068828,0.888794,0.799297
0.056617,0.115538,0.038012,0.144068
0.569504,0.953657,0.592597,0.471584
0.597349,0.742096,0.635530,0.789373
0.114500,0.999388,0.143241,0.198213
0.686022,0.446803,0.622948,0.734200
0.276912,0.788798,0.330455,0.348332
0.214876,0.667631,0.262228,0.224573
0.381252,0.463230,0.371410,0.446961
0.575462,0.169203,0.624867,0.637856
0.700718,0.002533,0.652034,0.802168
0.587482,0.856300,0.487404,0.660092
0.756997,0.340296,0.726586,0.849304
0.266517,0.782381,0.303563,0.443570
0.056029,0.646854,0.048785,0.012917
0.652233,0.431950,0.643585,0.817239
0.741805,0.390328,0.722264,0.807595
0.788237,0.719176,0.799975,0.414391
0.469748,0.142265,0.488215,0.491591
0.311203,0.142502,0.273344,0.342854
0.552661,0.647547,0.492886,0.690663
0.155328,0.348197,0.167734,0.023336
0.245626,0.666272,0.190619,0.516377
0.049527,0.820842,0.031479,0.096645
0.888487,0.177698,0.894735,0.528593
0.521385,0.277969,0.521326,0.443816
0.012000,0.055007,0.078563,0.112904
0.769514,0.281444,0.783226,0.513506
0.364673,0.827923,0.341930,0.107043
0.050232,0.757213,0.080166,0.224053
0.795449,0.572295,0.798694,0.662959
0.786662,0.059466,0.762437,0.864997
0.065490,0.848601,0.101197,0.107251
0.592720,0.758174,0.590073,0.323320
0.009765,0.811697,0.091251,0.466840
0.627810,0.208708,0.700331,0.417590
0.846747,0.648414,0.714832,0.935476
0.424770,0.959555,0.395982,0.476543
0.018745,0.393949,0.053853,0.239184
0.599617,0.039456,0.554919,0.727659
0.521813,0.698089,0.642570,0.257377
0.122428,0.032244,0.064460,0.143256
0.096044,0.992296,0.122424,0.300581
0.319068,0.736184,0.324041,0.097126
0.292971,0.194117,0.335148,0.415547
