month,apple,microsoft
2008-09,140.91,25.16
2008-08,169.53,27.29
2008-07,158.95,25.62
2008-06,167.44,27.40
2008-05,188.75,28.21
2008-04,173.95,28.30
2008-03,143.50,28.16
2008-02,125.02,26.99
2008-01,135.36,32.23
2007-12,198.08,35.19
2007-11,182.22,33.21
2007-10,189.95,36.27
2007-09,153.47,29.03
2007-08,138.48,28.31
2007-07,131.76,28.46
2007-06,122.04,28.93
2007-05,121.19,30.13
2007-04,99.80,29.30
2007-03,92.91,27.28
2007-02,84.61,27.57
2007-01,85.73,30.10
2006-12,84.84,29.12
2006-11,91.66,28.63
2006-10,81.08,27.90
2006-09,76.98,26.58
2006-08,67.85,24.98
2006-07,67.96,23.30
2006-06,57.27,22.56
2006-05,59.77,21.93
2006-04,70.39,23.30
2006-03,62.72,26.25
2006-02,68.49,25.92
2006-01,75.51,27.06
