Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Incident Zip,Status
27108512,01/09/2014 01:57:00 AM,01/10/2014 01:45:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),11211,Closed
27041962,01/03/2014 12:00:00 AM,01/11/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11212,Closed
27037983,01/02/2014 12:00:00 AM,01/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11203,Closed
27054068,01/04/2014 12:00:00 AM,01/08/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10453,Closed
27150273,01/15/2014 08:09:00 AM,01/16/2014 12:00:00 PM,DSNY,BCC - Brooklyn South,Missed Collection (All Materials),1 Missed Collection,11219,Closed
27131409,01/12/2014 12:00:00 AM,01/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,11221,Closed
27177292,01/17/2014 05:01:33 PM,02/06/2014 09:13:06 AM,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Other (Explain Below),10028,Closed
27217115,01/22/2014 12:00:00 AM,01/26/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11220,Closed
27151321,01/15/2014 12:00:00 AM,01/23/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,RADIATOR,11216,Closed
27240067,01/24/2014 07:30:00 PM,01/26/2014 12:00:00 PM,DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,11436,Closed
27116881,01/10/2014 10:07:02 PM,01/10/2014 11:01:47 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,11368,Closed
27247968,01/26/2014 10:25:11 PM,02/05/2014 11:39:49 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,10029,Closed
27122288,01/10/2014 10:39:00 AM,01/10/2014 10:39:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,11416,Closed
27161222,01/16/2014 03:19:00 PM,01/16/2014 06:50:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),11361,Closed
27041147,01/03/2014 09:06:29 AM,01/03/2014 12:29:41 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11220,Closed
27221339,01/22/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10457,Closed
27082229,01/07/2014 12:00:00 AM,01/09/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11212,Closed
27273977,01/27/2014 06:51:46 PM,01/29/2014 12:35:00 PM,DOT,Department of Transportation,Street Condition,Pothole,10310,Closed
27293088,01/28/2014 08:56:36 AM,01/29/2014 12:54:00 PM,DOT,Department of Transportation,Street Condition,Pothole,11366,Closed
27268026,01/27/2014 08:41:00 AM,01/28/2014 09:30:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),10304,Closed
27253802,01/25/2014 12:00:00 AM,01/26/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11230,Closed
27256031,01/24/2014 12:00:00 AM,02/03/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,SMOKE-DETECTOR,11237,Closed
27067941,01/05/2014 12:00:00 AM,01/06/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11226,Closed
27054646,01/04/2014 12:00:00 AM,01/06/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10473,Closed
27211886,01/21/2014 11:29:00 AM,01/21/2014 11:35:00 AM,DEP,Department of Environmental Protection,Water System,No Water/Low Pressure (WA5),10006,Closed
27276227,01/28/2014 12:00:00 AM,02/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11106,Closed
27119646,01/10/2014 12:25:00 AM,01/11/2014 01:45:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),10308,Closed
27186584,01/18/2014 12:00:00 AM,01/21/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11432,Closed
27098993,01/08/2014 12:00:00 AM,01/08/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10472,Closed
27088559,01/07/2014 12:00:00 AM,01/14/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11237,Closed
27280008,01/28/2014 01:40:00 PM,01/29/2014 03:45:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Dust, Construction/Demolition (AE4)",10003,Closed
27274642,01/28/2014 03:17:11 PM,02/13/2014 01:07:10 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Damaged Vehicle,11101,Closed
27048814,01/03/2014 11:04:13 AM,,DOB,Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,11421,Open
27282968,01/29/2014 08:45:00 PM,01/31/2014 11:31:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,11379,Closed
27027562,01/01/2014 12:00:00 AM,01/05/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11209,Closed
27167279,01/16/2014 12:00:00 AM,01/21/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10457,Closed
27256336,01/24/2014 12:00:00 AM,02/04/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11102,Closed
27133357,01/12/2014 12:52:34 PM,01/12/2014 12:52:34 PM,DOT,Department of Transportation,Street Condition,Pothole,11223,Closed
27295987,01/30/2014 11:04:00 AM,01/30/2014 11:04:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,11436,Closed
27140524,01/13/2014 12:00:00 AM,03/21/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,WIRING,10467,Closed
27126629,01/11/2014 12:00:00 AM,01/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11226,Closed
27099423,01/08/2014 12:00:00 AM,01/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11221,Closed
27229736,01/23/2014 12:00:00 AM,02/10/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11226,Closed
27032252,01/02/2014 10:22:47 AM,01/02/2014 11:46:11 AM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,11411,Closed
27087257,01/07/2014 12:00:00 AM,,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10458,Open
27237572,01/23/2014 12:40:00 PM,01/24/2014 12:00:00 PM,DSNY,A - Brooklyn,Snow,E9 Snow / Icy Sidewalk,11206,Closed
27194516,01/20/2014 05:50:00 PM,01/20/2014 05:50:00 PM,DEP,Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),10009,Closed
27212966,01/21/2014 12:00:00 AM,01/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,10457,Closed
27059715,01/05/2014 09:44:00 PM,01/06/2014 12:45:00 PM,DEP,Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking - Private Residence (CMR),10306,Closed
27112694,01/09/2014 12:00:00 AM,01/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,10453,Closed
27273753,01/28/2014 12:00:00 AM,02/14/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,11218,Closed
27062170,01/05/2014 07:54:33 PM,01/05/2014 08:05:29 PM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,11356,Closed
27196054,01/20/2014 07:03:54 AM,02/03/2014 04:00:53 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Non-Delivery Goods/Services,11231,Closed
27235053,01/23/2014 12:00:00 AM,01/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11220,Closed
27081660,01/07/2014 12:00:00 AM,,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11354,Open
27072244,01/06/2014 12:00:00 AM,,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11358,Open
27235522,01/23/2014 01:57:12 PM,01/24/2014 06:47:41 AM,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,11366,Closed
27085367,01/07/2014 12:00:00 AM,01/11/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10033,Closed
27189921,01/19/2014 12:00:00 AM,01/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11222,Closed
27231368,01/23/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,GAS,11207,Closed
