Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Incident Zip,Status
27113117,01/09/2014 10:11:00 AM,01/09/2014 10:11:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),10025,Closed
27247221,01/25/2014 09:31:50 AM,01/25/2014 10:19:43 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,10473,Closed
27269599,01/25/2014 05:10:14 PM,03/05/2014 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,11365,Closed
27155927,01/15/2014 11:11:49 AM,01/17/2014 12:00:00 AM,DOB,Department of Buildings,Special Enforcement,SEP - Professional Certification Compliance Audit,10036,Assigned
27166832,01/16/2014 12:00:00 AM,03/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL,FLOOR,11385,Closed
27239307,01/23/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11225,Closed
27126722,01/11/2014 02:10:52 PM,01/11/2014 02:11:52 PM,HRA,HRA Benefit Card Replacement,Benefit Card Replacement,Cash Assistance,,Closed
27227459,01/22/2014 12:00:00 AM,01/25/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11209,Closed
27132563,01/12/2014 11:14:17 AM,01/15/2014 08:24:23 AM,DOT,Department of Transportation,Street Condition,Failed Street Repair,11204,Closed
27113543,01/09/2014 02:45:00 PM,01/10/2014 12:00:00 PM,DSNY,BCC - Bronx,Missed Collection (All Materials),2 Bulk-Missed Collection,10466,Closed
27064182,01/05/2014 02:51:00 AM,01/05/2014 12:00:00 PM,DSNY,BCC - Queens West,Snow,15S Re-Plow/Spread/Ice-Snow Cond.,11379,Closed
27228851,01/23/2014 12:00:00 AM,01/26/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11238,Closed
27188009,01/18/2014 05:39:17 PM,01/18/2014 11:24:38 PM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,10302,Closed
27246270,01/25/2014 10:15:00 PM,01/25/2014 10:20:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),10018,Closed
27056496,01/04/2014 01:03:00 PM,01/07/2014 12:00:00 PM,DSNY,A - Manhattan,Recycling Enforcement,ER1 Resident Recyc. (Owner/Manager,10040,Closed
27069786,01/06/2014 09:34:09 AM,07/22/2014 05:46:13 PM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,11213,Closed
27215387,01/21/2014 12:00:00 AM,01/23/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11372,Closed
27192823,01/19/2014 12:00:00 AM,01/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10460,Closed
27042173,01/03/2014 06:50:00 PM,01/09/2014 05:45:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),10309,Closed
27241752,01/24/2014 03:16:00 PM,01/26/2014 12:00:00 PM,DSNY,BCC - Staten Island,Snow,15S Re-Plow/Spread/Ice-Snow Cond.,10312,Closed
27222181,01/22/2014 09:36:03 AM,,DSNY,Department of Sanitation,Graffiti,Graffiti,10027,Open
27097469,01/08/2014 10:08:27 AM,01/09/2014 10:11:20 AM,DOF,Department of Finance,DOF Literature Request,Request for Review Form - Tax Class 4 Properties,,Closed
27152620,01/15/2014 07:43:00 AM,01/15/2014 12:00:00 PM,DSNY,BCC - Queens East,Litter Basket / Request,10 Litter Basket / Request,11432,Closed
27077113,01/07/2014 02:47:51 PM,01/09/2014 07:26:23 AM,DOF,Department of Finance,DOF Literature Request,Property Tax Exemption Application for Owners - English,,Closed
27091339,01/08/2014 07:55:47 AM,01/08/2014 08:10:13 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,10024,Closed
27229911,01/23/2014 01:06:20 PM,01/24/2014 06:49:00 AM,DOF,Department of Finance,DOF Literature Request,Application for Disability Rent Increase Exemption - English,,Closed
27137932,01/13/2014 08:21:30 AM,01/13/2014 08:31:27 AM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,11412,Closed
27077165,01/07/2014 12:00:00 AM,02/18/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,11206,Closed
27243600,01/24/2014 05:37:02 PM,01/27/2014 10:31:42 AM,DOF,Department of Finance,DOF Literature Request,Property Tax Exemption Application for Owners - English,,Closed
27146622,01/14/2014 12:00:00 AM,02/07/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,11418,Closed
27148761,01/14/2014 11:23:19 AM,01/14/2014 12:03:32 PM,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,10022,Closed
27283780,01/29/2014 12:00:00 AM,02/01/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10457,Closed
27275317,01/28/2014 12:00:00 AM,01/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11208,Closed
27165816,01/16/2014 08:31:00 AM,01/16/2014 09:34:00 AM,DEP,Department of Environmental Protection,Sewer,Manhole Cover Missing (Emergency) (SA3),11694,Closed
27025773,01/01/2014 12:00:00 AM,01/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11212,Closed
27224939,01/22/2014 04:39:56 PM,01/23/2014 06:57:37 AM,DOF,Department of Finance,DOF Literature Request,SCRIE Renewal Application - Rent-Stabilized Apartments,,Closed
27251059,01/24/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11225,Closed
27032050,01/02/2014 12:00:00 AM,01/05/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11222,Closed
27087430,01/07/2014 12:00:00 AM,01/12/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10034,Closed
27077461,01/07/2014 12:00:00 AM,01/12/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11364,Closed
