Incident Zip,Borough
10468,BRONX
10472,BRONX
10031,MANHATTAN
10460,BRONX
10027,MANHATTAN
11226,BROOKLYN
11220,BROOKLYN
10453,BRONX
10040,MANHATTAN
11237,BROOKLYN
10455,BRONX
11106,QUEENS
11208,BROOKLYN
11203,BROOKLYN
10463,BRONX
10456,BRONX
11413,QUEENS
10467,BRONX
10466,BRONX
10032,MANHATTAN
11354,QUEENS
10016,MANHATTAN
11207,BROOKLYN
10452,BRONX
11219,BROOKLYN
11104,QUEENS
10458,BRONX
11221,BROOKLYN
11216,BROOKLYN
10009,MANHATTAN
11218,BROOKLYN
10075,MANHATTAN
10461,BRONX
10034,MANHATTAN
10033,MANHATTAN
11691,QUEENS
11229,BROOKLYN
11213,BROOKLYN
11373,QUEENS
10026,MANHATTAN
10471,BRONX
10036,MANHATTAN
11233,BROOKLYN
11375,QUEENS
10459,BRONX
10021,MANHATTAN
10462,BRONX
11212,BROOKLYN
11225,BROOKLYN
10473,BRONX
10457,BRONX
11214,BROOKLYN
10025,MANHATTAN
11210,BROOKLYN
11235,BROOKLYN
10035,MANHATTAN
10451,BRONX
11236,BROOKLYN
10454,BRONX
11105,QUEENS
11217,BROOKLYN
11204,BROOKLYN
11205,BROOKLYN
11230,BROOKLYN
11224,BROOKLYN
11385,QUEENS
11417,QUEENS
11377,QUEENS
11215,BROOKLYN
11232,BROOKLYN
11369,QUEENS
11432,QUEENS
11231,BROOKLYN
10029,MANHATTAN
10304,STATEN ISLAND
11419,QUEENS
11234,BROOKLYN
10011,MANHATTAN
10024,MANHATTAN
10305,STATEN ISLAND
10028,MANHATTAN
10014,MANHATTAN
11435,QUEENS
11222,BROOKLYN
10039,MANHATTAN
11238,BROOKLYN
10469,BRONX
11378,QUEENS
10474,BRONX
10023,MANHATTAN
11368,QUEENS
11206,BROOKLYN
10002,MANHATTAN
10019,MANHATTAN
10017,MANHATTAN
11367,QUEENS
11412,QUEENS
10001,MANHATTAN
11418,QUEENS
11423,QUEENS
10465,BRONX
11355,QUEENS
10003,MANHATTAN
10302,STATEN ISLAND
11436,QUEENS
11374,QUEENS
10037,MANHATTAN
11223,BROOKLYN
11103,QUEENS
11211,BROOKLYN
11201,BROOKLYN
11415,QUEENS
10301,STATEN ISLAND
10010,MANHATTAN
11209,BROOKLYN
11433,QUEENS
10065,MANHATTAN
10303,STATEN ISLAND
11356,QUEENS
11361,QUEENS
11357,QUEENS
10128,MANHATTAN
11422,QUEENS
11434,QUEENS
10030,MANHATTAN
11421,QUEENS
10012,MANHATTAN
10470,BRONX
11004,QUEENS
11363,QUEENS
11239,BROOKLYN
11420,QUEENS
11249,BROOKLYN
10006,MANHATTAN
10310,STATEN ISLAND
10022,MANHATTAN
11372,QUEENS
10463,MANHATTAN
11228,BROOKLYN
10280,MANHATTAN
11365,QUEENS
11693,QUEENS
10013,MANHATTAN
11101,QUEENS
10309,STATEN ISLAND
11358,QUEENS
10038,MANHATTAN
11360,QUEENS
10312,STATEN ISLAND
10018,MANHATTAN
10005,MANHATTAN
11102,QUEENS
11694,QUEENS
10308,STATEN ISLAND
11362,QUEENS
10007,MANHATTAN
10306,STATEN ISLAND
11427,QUEENS
10314,STATEN ISLAND
11428,QUEENS
11370,QUEENS
10004,MANHATTAN
10069,MANHATTAN
11426,QUEENS
11364,QUEENS
10475,BRONX
11692,QUEENS
11429,QUEENS
11414,QUEENS
11208,QUEENS
10307,STATEN ISLAND
10044,MANHATTAN
11366,QUEENS
11411,QUEENS
11379,QUEENS
11416,QUEENS
10464,BRONX
11109,QUEENS
11697,QUEENS
10281,MANHATTAN
11430,QUEENS
10000,MANHATTAN
10020,MANHATTAN
11040,QUEENS
10048,MANHATTAN
11001,QUEENS
10119,MANHATTAN
11237,QUEENS
10107,MANHATTAN
10103,MANHATTAN
10282,MANHATTAN
11414,BROOKLYN
00083,MANHATTAN
10000,BRONX
10153,MANHATTAN
10162,MANHATTAN
10177,MANHATTAN
11241,BROOKLYN
10129,MANHATTAN
11005,QUEENS
11096,QUEENS
11242,BROOKLYN
10122,MANHATTAN
10111,MANHATTAN
10123,MANHATTAN
11371,QUEENS
10115,MANHATTAN
